Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;1;0;1;2;54416;39004;15623;2415
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;7;3;16;26;124732;113986;12381;43968
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;4814563;SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;7;27;32;66;314502;1414;313120; 
2018;3º;Menos de quatro milhões de clientes;Banco/financeira;5192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;0;1;1;358757;451;358307; 
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;30;54;84;370813;1395;369736; 
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;0;2;2;8889;85;8880; 
2018;3º;Mais de quatro milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);12,93;59;453;304;816;4562852;549852;4025908;8966
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;VR (conglomerado); ;1;0;0;1;74;74;1;29
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;4;1;4;9;3;3; ;1
2018;3º;Menos de quatro milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;1;8;9;135010;56;134956; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;AGIBANK (conglomerado);119;128;188;168;484;1075581;530138;772164;34664
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;250690;112;250578; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;14;38;35;87;411710;268516;144681;0
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;2;3;8203;2385;5827;0
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;25,66;21;32;17;70;818198;464956;491370; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;3;6;8;17;137904;33969;113000;3597
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;2;0;0;2;8609;450;8187;206
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;997185;BANCO B3 S.A.; ;0;0;2;2;780;780; ;43
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;27098060;BANCO CBSS S.A.;38,35;40;67;63;170;1042882; ;1042882; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;31597552;BANCO CLASSICO S.A.; ;0;0;1;1;19;19; ;13
2018;4º;Mais de quatro milhões de clientes;Banco/financeira;8357240;BANCO CSF S.A.;7,18;32;100;95;227;4453364; ;4453364; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;4902979;BANCO DA AMAZONIA S.A.; ;8;3;3;14;502463;432311;160598;278441
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;5040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;1;2;2;5;38980;2;38978; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;12;22;8;42;977751;857367;388960;656200
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;4913711;BANCO DO ESTADO DO PARÁ S.A.;34,85;25;28;22;75;717183;703548;231947;607646
2018;4º;Mais de quatro milhões de clientes;Banco/financeira;7237373;BANCO DO NORDESTE DO BRASIL S.A.;0,88;6;10;35;51;6801381;6641817;1077977;5054710
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;4;5;4;13;166189;3764;162837;1130
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;0;0;2;2;33981;617;33366;33
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;1;0;0;1;931;215;727; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;1;2;3;387;137;261; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;1;0;1;10585;4930;6077;1061
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;60498557;BANCO MUFG BRASIL S.A.; ;0;0;2;2;2862;2839;111;455
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;1023570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; ;0;0;1;1;3910;3630;1875;676
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;795423;BANCO SEMEAR S.A.; ;2;2;2;6;322145;3673;318620;1107
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;7679404;BANCO TOPÁZIO S.A.; ;1;2;5;8;15358;7909;9505;1598
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;3215790;BANCO TOYOTA DO BRASIL S.A.; ;2;0;11;13;155633;15273;141787; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.;8,76;15;15;8;38;1712280;174852;1554061;14066
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado);9,94;24;26;24;74;2412762;1455434;1133791;0
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;11;11;14;36;1243939;1205104;330565;862259
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;33884941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A. - EM LIQUIDAÇÃO ORDINÁRIA; ;0;1;3;4;349;349; ; 
2018;4º;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);19,3;91;445;177;713;4713393;3500464;2627311;2510314
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;3;12;5;20;32086;951;31135; 
2018;4º;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);24,98;1585;2726;3519;7830;63432189;59771870;23189574;40039565
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);63,97;249;347;500;1096;3892117;77788;3871013;23187
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;1;3;4;20052;19912;17184; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);95,45;288;517;469;1274;3017045;17399;3000165;490095
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;0;2;2;1861;1856;66;712
2018;4º;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);23,52;2262;3665;4170;10097;96142413;84255792;41217678;33849746
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;0;0;1;1;3809;3808;25;833
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);137,02;119;134;144;397;868443;758246;370942;471960
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;1;1;2;123401;78348;45413;11626
2018;4º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);18,92;1721;3345;4691;9757;90926718;88100057;17563365;79022308
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;2;0;3;57128;51160;11216; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;1;91;39;131;275986;4471;272051;2206
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado); ;0;4;4;8;26256;19509;7557;3410
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;CREFISA (conglomerado); ;12;144;58;214;1576122;426180;1512087;0
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;2;3;5;10;1031732; ;1031732; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);20,71;19;283;95;397;917338;74824;849757;20838
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;497,39;30;144;24;198;60314;565;59749; 
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;3;2;5;98892;2016;96979; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;FINAXIS (conglomerado); ;0;0;1;1;4548;4548; ;401
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;2;36;38;76;388008;463;387637; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;GOLDMAN SACHS (conglomerado); ;0;1;1;2;270;270;1; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado); ;1;6;5;12;17810;7607;10364;1685
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;1;0;1;2;233856;539;233382; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;1;12;18;31;473633;23;473610; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;4;10;9;23;58692;3971;55280;886
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;1;0;0;1;4697;4078;957;1978
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado);198,61;295;287;316;898;1485277;1306291;420536;358951
2018;4º;Mais de quatro milhões de clientes;Conglomerado; ;ITAU (conglomerado);17,33;1339;4220;3494;9053;77253268;58849747;42893466;40632385
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;4230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;3;4;126140; ;126140; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;JOHN DEERE (conglomerado); ;0;1;0;1;14103;251;13913;51
2018;4º;Menos de quatro milhões de clientes;Banco/financeira;6040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;182851;4;182847; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;2;1;3;6;21369;1066;20304; 
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;1;4;1;6;34130;3874;30400;1423
2018;4º;Menos de quatro milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);21,53;58;115;85;258;2692880;2207530;1061261;1612995
